% Created using /stochastic/trunk/tools/piCurves/piCurve.py
% and /home/andrew.matas/repositories/stochastic/trunk/analyses/O2/iso/results/PI_curve/make_o1o2_py_curve.py
%
# f (Hz)	sigma(f)	PI(f)
2.603125e+01	3.293073e-07	1.709410e-08
2.606250e+01	3.922828e-07	1.698507e-08
2.609375e+01	2.889748e-07	1.687686e-08
2.612500e+01	2.487211e-07	1.676947e-08
2.615625e+01	2.547139e-07	1.666290e-08
2.618750e+01	2.561971e-07	1.655712e-08
2.621875e+01	2.472236e-07	1.645214e-08
2.625000e+01	2.481905e-07	1.635396e-08
2.628125e+01	2.550504e-07	1.625696e-08
2.631250e+01	2.663412e-07	1.616066e-08
2.634375e+01	inf	1.606503e-08
2.637500e+01	2.440423e-07	1.597008e-08
2.640625e+01	2.450138e-07	1.587581e-08
2.643750e+01	2.448679e-07	1.578220e-08
2.646875e+01	2.458426e-07	1.568926e-08
2.650000e+01	2.488782e-07	1.559697e-08
2.653125e+01	2.467617e-07	1.550533e-08
2.656250e+01	2.477937e-07	1.541434e-08
2.659375e+01	2.725652e-07	1.532398e-08
2.662500e+01	2.823443e-07	1.523804e-08
2.665625e+01	2.597883e-07	1.515486e-08
2.668750e+01	2.517239e-07	1.507222e-08
2.671875e+01	2.487854e-07	1.499013e-08
2.675000e+01	2.468063e-07	1.490858e-08
2.678125e+01	2.455482e-07	1.482757e-08
2.681250e+01	2.443469e-07	1.474710e-08
2.684375e+01	2.442480e-07	1.466715e-08
2.687500e+01	2.442369e-07	1.458773e-08
2.690625e+01	2.454283e-07	1.450884e-08
2.693750e+01	2.469079e-07	1.443046e-08
2.696875e+01	2.472043e-07	1.435259e-08
2.700000e+01	2.647933e-07	1.427523e-08
2.703125e+01	2.526923e-07	1.420000e-08
2.706250e+01	2.542832e-07	1.412908e-08
2.709375e+01	2.641063e-07	1.405860e-08
2.712500e+01	2.776526e-07	1.398855e-08
2.715625e+01	2.771525e-07	1.391893e-08
2.718750e+01	2.611200e-07	1.384973e-08
2.721875e+01	2.462552e-07	1.378096e-08
2.725000e+01	2.402666e-07	1.371261e-08
2.728125e+01	2.490062e-07	1.364467e-08
2.731250e+01	2.700879e-07	1.357715e-08
2.734375e+01	2.535924e-07	1.351004e-08
2.737500e+01	2.596897e-07	1.344333e-08
2.740625e+01	8.381619e-07	1.337703e-08
2.743750e+01	8.320659e-07	1.331114e-08
2.746875e+01	8.811768e-07	1.324564e-08
2.750000e+01	8.859051e-07	1.318467e-08
2.753125e+01	7.162551e-07	1.312491e-08
2.756250e+01	2.440768e-07	1.306548e-08
2.759375e+01	2.774251e-07	1.300640e-08
2.762500e+01	2.552017e-07	1.294765e-08
2.765625e+01	6.706893e-07	1.288922e-08
2.768750e+01	6.907638e-07	1.283113e-08
2.771875e+01	7.251469e-07	1.277337e-08
2.775000e+01	6.815472e-07	1.271593e-08
2.778125e+01	6.238269e-07	1.265881e-08
2.781250e+01	2.227529e-07	1.260201e-08
2.784375e+01	2.247924e-07	1.254553e-08
2.787500e+01	2.358548e-07	1.248937e-08
2.790625e+01	2.327370e-07	1.243352e-08
2.793750e+01	2.198632e-07	1.237798e-08
2.796875e+01	2.238378e-07	1.232340e-08
2.800000e+01	2.469695e-07	1.227305e-08
2.803125e+01	2.282956e-07	1.222295e-08
2.806250e+01	2.231378e-07	1.217312e-08
2.809375e+01	2.200901e-07	1.212354e-08
2.812500e+01	2.177377e-07	1.207422e-08
2.815625e+01	2.173022e-07	1.202516e-08
2.818750e+01	2.629124e-07	1.197635e-08
2.821875e+01	3.027052e-07	1.192779e-08
2.825000e+01	2.869658e-07	1.187948e-08
2.828125e+01	2.610506e-07	1.183142e-08
2.831250e+01	2.595954e-07	1.178361e-08
2.834375e+01	2.481636e-07	1.173604e-08
2.837500e+01	2.144194e-07	1.168872e-08
2.840625e+01	2.140674e-07	1.164164e-08
2.843750e+01	2.408706e-07	1.159480e-08
2.846875e+01	2.651813e-07	1.154820e-08
2.850000e+01	2.523223e-07	1.150252e-08
2.853125e+01	2.113882e-07	1.146058e-08
2.856250e+01	2.242381e-07	1.141884e-08
2.859375e+01	2.368235e-07	1.137729e-08
2.862500e+01	2.136258e-07	1.133594e-08
2.865625e+01	2.091311e-07	1.129479e-08
2.868750e+01	2.080026e-07	1.125383e-08
2.871875e+01	2.065191e-07	1.121306e-08
2.875000e+01	2.071454e-07	1.117248e-08
2.878125e+01	2.042415e-07	1.113210e-08
2.881250e+01	2.022568e-07	1.109190e-08
2.884375e+01	2.020309e-07	1.105190e-08
2.887500e+01	2.017758e-07	1.101208e-08
2.890625e+01	2.019165e-07	1.097245e-08
2.893750e+01	2.022394e-07	1.093300e-08
2.896875e+01	2.028913e-07	1.089373e-08
2.900000e+01	2.169391e-07	1.085465e-08
2.903125e+01	2.036063e-07	1.081575e-08
2.906250e+01	2.030184e-07	1.077704e-08
2.909375e+01	2.023510e-07	1.074165e-08
2.912500e+01	2.078654e-07	1.070711e-08
2.915625e+01	2.064979e-07	1.067272e-08
2.918750e+01	2.034750e-07	1.063847e-08
2.921875e+01	2.032689e-07	1.060438e-08
2.925000e+01	2.033849e-07	1.057042e-08
2.928125e+01	2.038099e-07	1.053662e-08
2.931250e+01	2.063114e-07	1.050295e-08
2.934375e+01	2.077114e-07	1.046943e-08
2.937500e+01	2.069793e-07	1.043606e-08
2.940625e+01	2.067690e-07	1.040282e-08
2.943750e+01	2.066664e-07	1.036973e-08
2.946875e+01	2.078921e-07	1.033677e-08
2.950000e+01	2.155063e-07	1.030396e-08
2.953125e+01	2.327425e-07	1.027128e-08
2.956250e+01	2.492206e-07	1.023874e-08
2.959375e+01	2.331086e-07	1.020634e-08
2.962500e+01	2.218460e-07	1.017408e-08
2.965625e+01	2.186994e-07	1.014195e-08
2.968750e+01	2.166468e-07	1.011013e-08
2.971875e+01	2.142721e-07	1.008180e-08
2.975000e+01	2.152781e-07	1.005359e-08
2.978125e+01	2.331143e-07	1.002548e-08
2.981250e+01	3.094669e-07	9.997481e-09
2.984375e+01	3.683349e-07	9.969589e-09
2.987500e+01	3.330263e-07	9.941804e-09
2.990625e+01	2.782784e-07	9.914126e-09
2.993750e+01	5.838938e-07	9.886553e-09
2.996875e+01	6.035573e-07	9.859086e-09
3.000000e+01	3.131359e-06	9.831723e-09
3.003125e+01	5.880093e-07	9.804465e-09
3.006250e+01	5.587839e-07	9.777310e-09
3.009375e+01	2.152380e-07	9.750259e-09
3.012500e+01	2.132704e-07	9.723311e-09
